,time,value
0,0,540
1,0.06537771224975586,540.0
2,0.1018364429473877,540.0
3,0.6752567291259766,540.0
4,0.4283170700073242,540.0
5,0.4523758888244629,540.0
6,0.4805154800415039,540.0
7,0.5071790218353271,540.0
8,0.5341305732727051,540.0
9,0.563040018081665,540.0
10,0.5929651260375977,540.0
11,0.6198811531066895,540.0
12,0.6451354026794434,540.0
13,0.6741516590118408,540.0
14,0.6998836994171143,540.0
15,0.7269992828369141,540.0
16,0.7538738250732422,547.0
17,0.7828197479248047,560.0
18,0.8167252540588379,572.0
19,0.8457279205322266,592.0
20,0.868485689163208,592.0
21,0.8921735286712646,592.0
22,0.9191718101501465,592.0
23,0.9455053806304932,592.0
24,0.9717504978179932,592.0
25,0.9986515045166016,592.0
26,1.0243241786956787,592.0
27,1.0515613555908203,592.0
28,1.0776536464691162,592.0
29,1.104562520980835,592.0
30,1.1299223899841309,592.0
31,1.1543114185333252,592.0
32,1.1792232990264893,592.0
33,1.2072422504425049,592.0
34,1.2307960987091064,592.0
35,1.2558698654174805,592.0
36,1.2828295230865479,592.0
37,1.3103196620941162,592.0
38,1.3338298797607422,592.0
39,1.360358476638794,592.0
40,1.388373613357544,592.0
41,1.4134643077850342,592.0
42,1.4414138793945312,592.0
43,1.4678521156311035,592.0
44,1.4931812286376953,592.0
45,1.5191760063171387,592.0
46,1.5452208518981934,592.0
47,1.570953369140625,592.0
48,1.597104787826538,592.0
49,1.6242291927337646,592.0
50,1.6482608318328857,592.0
51,1.6749558448791504,592.0
52,1.6990230083465576,592.0
53,1.7274196147918701,592.0
54,1.7526326179504395,592.0
55,1.7767372131347656,592.0
56,1.8017971515655518,592.0
57,1.830216407775879,592.0
58,1.8535993099212646,592.0
59,1.8788089752197266,592.0
60,1.9038207530975342,592.0
61,1.9307875633239746,592.0
62,1.9575722217559814,592.0
63,1.9832978248596191,592.0
64,2.01182222366333,592.0
65,2.036515235900879,592.0
66,2.070178270339966,592.0
67,2.0963187217712402,592.0
68,2.118406057357788,592.0
69,2.1454460620880127,592.0
70,2.1694440841674805,592.0
71,2.197270631790161,592.0
72,2.2238898277282715,576.0
73,2.2507801055908203,560.0
74,2.2760632038116455,553.0
75,2.3031632900238037,552.0
76,2.3266549110412598,552.0
77,2.353649854660034,552.0
78,2.3811309337615967,552.0
