,time,value,vibration
0,0,540,
1,0.08188199996948242,545.0,960.0
2,0.11728739738464355,545.0,960.0
3,0.7513787746429443,545.0,960.0
4,0.4711790084838867,545.0,960.0
5,0.4971134662628174,545.0,960.0
6,0.5243351459503174,545.0,960.0
7,0.5516071319580078,545.0,960.0
8,0.57834792137146,545.0,960.0
9,0.6072733402252197,545.0,960.0
10,0.6351802349090576,545.0,960.0
11,0.6635608673095703,545.0,960.0
12,0.689340353012085,545.0,960.0
13,0.7163288593292236,545.0,960.0
14,0.7444396018981934,545.0,960.0
15,0.7729554176330566,545.0,960.0
16,0.7988996505737305,545.0,960.0
17,0.8267664909362793,545.0,960.0
18,0.853539228439331,545.0,960.0
19,0.8783650398254395,545.0,960.0
20,0.9025354385375977,545.0,960.0
21,0.9290816783905029,545.0,960.0
22,0.9552762508392334,545.0,960.0
23,0.9792721271514893,545.0,960.0
24,1.0062577724456787,545.0,960.0
25,1.0325038433074951,545.0,960.0
26,1.0583195686340332,545.0,960.0
27,1.0824668407440186,545.0,960.0
28,1.1112687587738037,545.0,960.0
29,1.1344046592712402,545.0,960.0
30,1.1613848209381104,545.0,960.0
31,1.1854338645935059,545.0,960.0
32,1.2104606628417969,545.0,960.0
33,1.2354984283447266,545.0,960.0
34,1.2636499404907227,545.0,960.0
35,1.2873351573944092,545.0,960.0
36,1.3145031929016113,545.0,960.0
37,1.3414990901947021,545.0,960.0
38,1.366908311843872,549.0,960.0
39,1.3937747478485107,554.0,960.0
40,1.419661283493042,560.0,960.0
41,1.446112871170044,566.0,960.0
42,1.4717528820037842,571.0,960.0
43,1.4985525608062744,576.0,960.0
44,1.5241594314575195,583.0,959.0
45,1.55008864402771,591.0,959.0
46,1.5774343013763428,598.0,959.0
47,1.602764368057251,600.0,959.0
48,1.6277241706848145,600.0,959.0
49,1.6542372703552246,600.0,959.0
50,1.6803996562957764,600.0,959.0
51,1.704470157623291,600.0,959.0
52,1.7313861846923828,600.0,959.0
53,1.7554478645324707,600.0,959.0
54,1.7838456630706787,600.0,959.0
55,1.8091440200805664,600.0,959.0
56,1.8332576751708984,600.0,959.0
57,1.8612475395202637,600.0,959.0
58,1.8867862224578857,600.0,959.0
59,1.9147582054138184,600.0,959.0
60,1.9397430419921875,600.0,959.0
61,1.96583890914917,600.0,959.0
62,1.9920809268951416,600.0,959.0
63,2.017977237701416,600.0,959.0
64,2.044123411178589,600.0,959.0
65,2.0701744556427,600.0,959.0
66,2.096181869506836,600.0,959.0
67,2.1230058670043945,600.0,959.0
68,2.1485629081726074,600.0,959.0
69,2.174747943878174,600.0,959.0
70,2.20076584815979,600.0,959.0
71,2.2286672592163086,600.0,959.0
72,2.2538504600524902,600.0,959.0
73,2.2797768115997314,600.0,959.0
74,2.307734727859497,600.0,959.0
75,2.3327245712280273,600.0,959.0
76,2.3588504791259766,600.0,959.0
77,2.3848297595977783,600.0,959.0
78,2.4108057022094727,600.0,959.0
79,2.436985969543457,600.0,959.0
80,2.462926149368286,600.0,959.0
81,2.4901440143585205,600.0,959.0
82,2.5156424045562744,600.0,959.0
83,2.54308819770813,600.0,959.0
84,2.568324327468872,597.0,959.0
85,2.5943267345428467,591.0,960.0
86,2.6222965717315674,585.0,961.0
87,2.648588180541992,578.0,962.0
88,2.675740957260132,571.0,962.0
89,2.704697608947754,563.0,962.0
90,2.7288336753845215,557.0,962.0
